Sl No,Tran Date,Dr/Cr,Amount
971,19-10-2018,Debit,350000.0
972,21-10-2018,Debit,1000.0
973,21-10-2018,Debit,2000000.0
974,24-10-2018,Debit,375000.0
975,24-10-2018,Credit,1.0
976,24-10-2018,Debit,975000.0
977,30-10-2018,Debit,5000.0
978,30-10-2018,Credit,5000.0
979,31-10-2018,Debit,839.0
980,31-10-2018,Debit,2000000.0
981,02-11-2018,Debit,2700000.0
982,04-11-2018,Credit,100.0
983,04-11-2018,Debit,389.0
984,08-11-2018,Debit,18770.0
985,14-11-2018,Debit,600000.0
986,18-11-2018,Debit,250000.0
987,19-11-2018,Debit,1498.0
988,20-11-2018,Debit,839.0
989,20-11-2018,Credit,1.0
990,21-11-2018,Debit,10000.0
991,22-11-2018,Debit,240000.0
992,24-11-2018,Debit,998.0
993,25-11-2018,Debit,10003.0
994,25-11-2018,Debit,45012.0
995,26-11-2018,Debit,2940.0
996,27-11-2018,Credit,1498.0
997,27-11-2018,Debit,1000.0
998,28-11-2018,Debit,787714.0
