Sl No,Tran Date,Dr/Cr,Amount,Current Balance
971,19-10-2018,Debit,350000.0,9650000.0
972,21-10-2018,Debit,1000.0,9649000.0
973,21-10-2018,Debit,2000000.0,7649000.0
974,24-10-2018,Debit,375000.0,7274000.0
975,24-10-2018,Credit,1.0,7274001.0
976,24-10-2018,Debit,975000.0,6299001.0
977,30-10-2018,Debit,5000.0,6294001.0
978,30-10-2018,Credit,5000.0,6299001.0
979,31-10-2018,Debit,839.0,6298162.0
980,31-10-2018,Debit,2000000.0,4298162.0
981,02-11-2018,Debit,2700000.0,1598162.0
982,04-11-2018,Credit,100.0,1598262.0
983,04-11-2018,Debit,389.0,1597873.0
984,08-11-2018,Debit,18770.0,1579103.0
985,14-11-2018,Debit,600000.0,979103.0
986,18-11-2018,Debit,250000.0,729103.0
987,19-11-2018,Debit,1498.0,727605.0
988,20-11-2018,Debit,839.0,726766.0
989,20-11-2018,Credit,1.0,726767.0
990,21-11-2018,Debit,10000.0,716767.0
991,22-11-2018,Debit,240000.0,476767.0
992,24-11-2018,Debit,998.0,475769.0
993,25-11-2018,Debit,10003.0,465766.0
994,25-11-2018,Debit,45012.0,420754.0
995,26-11-2018,Debit,2940.0,417814.0
996,27-11-2018,Credit,1498.0,419312.0
997,27-11-2018,Debit,1000.0,418312.0
998,28-11-2018,Debit,787714.0,-369402.0
